date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:50	12050/12050	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:50%20GMT	https://interno-template.webflow.io/post/residential-interior-designer-in-new-york-usa	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/residential-interior-designer-in-new-york-usa.html	(from https://interno-template.webflow.io/)
11:52:51	122380/122380	---M--	200	added ('OK')	image/jpeg	etag:%22b625a6dc52386d5662379253a2483c3e%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bd92c0eccd5cd71645fc_blog-image-small-1.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bd92c0eccd5cd71645fc_blog-image-small-1.jpg	(from https://interno-template.webflow.io/)
11:52:51	10434/10434	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:51%20GMT	https://interno-template.webflow.io/category/kitchen-design	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/category/kitchen-design.html	(from https://interno-template.webflow.io/)
11:52:52	12063/12063	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:51%20GMT	https://interno-template.webflow.io/post/how-to-choose-the-best-wall-art-decor-house	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/how-to-choose-the-best-wall-art-decor-house.html	(from https://interno-template.webflow.io/)
11:52:53	121373/121373	---M--	200	added ('OK')	image/jpeg	etag:%22eccede7d2597f0c31e42a5f91095c751%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdadb2eb07c93e396d9e_blog-image-small-2.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdadb2eb07c93e396d9e_blog-image-small-2.jpg	(from https://interno-template.webflow.io/)
11:52:53	10397/10397	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:53%20GMT	https://interno-template.webflow.io/category/living-room	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/category/living-room.html	(from https://interno-template.webflow.io/)
11:52:53	12067/12067	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:53%20GMT	https://interno-template.webflow.io/post/tips-to-increase-the-interior-value-of-your-house	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/tips-to-increase-the-interior-value-of-your-house.html	(from https://interno-template.webflow.io/)
11:52:54	100364/100364	---M--	200	added ('OK')	image/jpeg	etag:%22fbf1143b670005057624db199fadbbbf%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdc5798f2d3af13d1966_blog-image-small-3.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdc5798f2d3af13d1966_blog-image-small-3.jpg	(from https://interno-template.webflow.io/)
11:52:54	10482/10482	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:54%20GMT	https://interno-template.webflow.io/category/minimalist-interior	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/category/minimalist-interior.html	(from https://interno-template.webflow.io/)
11:52:55	12074/12074	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:54%20GMT	https://interno-template.webflow.io/post/best-solution-for-any-office-business-interior	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/best-solution-for-any-office-business-interior.html	(from https://interno-template.webflow.io/)
11:52:56	146969/146969	---M--	200	added ('OK')	image/jpeg	etag:%220e45936205695c9fe25fe457c83e5066%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bddb4a0a5378ab7d1199_blog-image-small-4.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bddb4a0a5378ab7d1199_blog-image-small-4.jpg	(from https://interno-template.webflow.io/)
11:52:56	12008/12008	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:55%20GMT	https://interno-template.webflow.io/post/get-solution-for-building-construction-work-	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/get-solution-for-building-construction-work-.html	(from https://interno-template.webflow.io/)
11:52:57	178202/178202	---M--	200	added ('OK')	image/jpeg	etag:%22f90ef3a2c925d60350ad5079db39e351%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdf7191af40ae1c06fca_blog-image-small-5.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdf7191af40ae1c06fca_blog-image-small-5.jpg	(from https://interno-template.webflow.io/)
11:52:57	12018/12018	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:56%20GMT	https://interno-template.webflow.io/post/attain-the-best-finish-for-the-kitchen-cabinets	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/post/attain-the-best-finish-for-the-kitchen-cabinets.html	(from https://interno-template.webflow.io/)
11:52:58	120357/120357	---M--	200	added ('OK')	image/jpeg	etag:%2231a62a6774dda21f12e9ba91da284ee0%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1be0da80aaec1a0c172c4_blog-image-small-6.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1be0da80aaec1a0c172c4_blog-image-small-6.jpg	(from https://interno-template.webflow.io/)
11:52:58	13413/13413	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:57%20GMT	https://interno-template.webflow.io/style-guide	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/style-guide.html	(from https://interno-template.webflow.io/)
11:52:58	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2006:22:58%20GMT	https://interno-template.webflow.io/401	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/401	(from https://interno-template.webflow.io/)
11:52:58	15147/15147	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:58%20GMT	https://interno-template.webflow.io/licenses	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/licenses.html	(from https://interno-template.webflow.io/)
11:52:59	7951/7951	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2006:22:58%20GMT	https://interno-template.webflow.io/changelog	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/changelog.html	(from https://interno-template.webflow.io/)
11:52:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2006:22:59%20GMT	https://interno-template.webflow.io/404	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/404	(from https://interno-template.webflow.io/)
11:52:59	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6194e0af852e05a5be106504	C:/Users/manuk/Downloads/certon-interior/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c84ff0.js	(from https://interno-template.webflow.io/)
11:53:00	214957/214957	---M-Z	200	added ('OK')	text/javascript	etag:%22e056f076f106ea3413d2dbb399dd75df%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/js/webflow.925016b2a.js	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/js/webflow.925016b2a.js	(from https://interno-template.webflow.io/)
11:53:01	140819/140819	---M--	200	added ('OK')	image/jpeg	etag:%22111a06da28ed3f26606e8decc99a590e%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a600b45f1c4532372507aa_compare-image-1.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a600b45f1c4532372507aa_compare-image-1.jpg	(from https://interno-template.webflow.io/about-us)
11:53:02	126423/126423	---M--	200	added ('OK')	image/jpeg	etag:%223d112ec829b0691a06315ba896977560%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a600b4d5a82c480f1f5450_compare-image-2.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a600b4d5a82c480f1f5450_compare-image-2.jpg	(from https://interno-template.webflow.io/about-us)
11:53:02	112553/112553	---M--	200	added ('OK')	image/jpeg	etag:%22fbb9719f1395a3509c646df78405dd4d%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1f22f3d891840a3cc7e9a_team-image-one.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1f22f3d891840a3cc7e9a_team-image-one.jpg	(from https://interno-template.webflow.io/about-us)
11:53:03	87103/87103	---M--	200	added ('OK')	image/jpeg	etag:%22f4b4d0873a9f2266de4f834c9e98aa18%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa765819168f07363c_team-image-two.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa765819168f07363c_team-image-two.jpg	(from https://interno-template.webflow.io/about-us)
11:53:04	181796/181796	---M--	200	added ('OK')	image/jpeg	etag:%221ccbe9fe5ef682cf4ae538fe008a0090%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa3d89184c52ccdebe_team-image-eight.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa3d89184c52ccdebe_team-image-eight.jpg	(from https://interno-template.webflow.io/about-us)
11:53:05	116782/116782	---M--	200	added ('OK')	image/jpeg	etag:%22743b69b8d389b190b2e87017993d0b62%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa798f2d6d723eb2e1_team-image-three.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa798f2d6d723eb2e1_team-image-three.jpg	(from https://interno-template.webflow.io/about-us)
11:53:05	139597/139597	---M--	200	added ('OK')	image/jpeg	etag:%227bf732ef62389a8a125d865c96326273%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5b53ed814f07583fd7_process-image-one.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5b53ed814f07583fd7_process-image-one.jpg	(from https://interno-template.webflow.io/services)
11:53:06	190215/190215	---M--	200	added ('OK')	image/jpeg	etag:%22d8aa9c07c10886ca9d1d2ee77cda7606%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5c32c6b08f8177ce33_process-image-two.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5c32c6b08f8177ce33_process-image-two.jpg	(from https://interno-template.webflow.io/services)
11:53:07	182166/182166	---M--	200	added ('OK')	image/jpeg	etag:%2239ff6ffd74e817a25da2a9a82cc22ab0%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5c24a31d4181e57f43_process-image-three.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5c24a31d4181e57f43_process-image-three.jpg	(from https://interno-template.webflow.io/services)
11:53:08	158198/158198	---M--	200	added ('OK')	image/jpeg	etag:%22a013e7c594a192e8d7005a24b6c3b31c%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5b246619f89abea101_process-image-four.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b7a5b246619f89abea101_process-image-four.jpg	(from https://interno-template.webflow.io/services)
11:53:08	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2006:23:07%20GMT	https://interno-template.webflow.io/project/minimalistic-bedroom-interior	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project/minimalistic-bedroom-interior	(from https://interno-template.webflow.io/our-projects)
11:53:09	175667/175667	---M--	200	added ('OK')	image/jpeg	etag:%224d13b5b811276e2ed954f2b5b7b9f2f5%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd2a426c5e8a217e22aa_project-image-5.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd2a426c5e8a217e22aa_project-image-5.jpg	(from https://interno-template.webflow.io/our-projects)
11:53:09	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2006:23:09%20GMT	https://interno-template.webflow.io/project/reading-area-gardening	C:/Users/manuk/Downloads/certon-interior/interno-template.webflow.io/project/reading-area-gardening	(from https://interno-template.webflow.io/our-projects)
11:53:09	119222/119222	---M--	200	added ('OK')	image/jpeg	etag:%22c4ea5669feffcea6b2d563c5633d566f%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd33f3292593cc54b3db_project-image-6.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1dd33f3292593cc54b3db_project-image-6.jpg	(from https://interno-template.webflow.io/our-projects)
11:53:10	69076/69076	---M--	200	added ('OK')	image/jpeg	etag:%22c65298f95c1b13f291f90f84a624c520%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a7091dfafd9a021777b329_team-image-ten.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a7091dfafd9a021777b329_team-image-ten.jpg	(from https://interno-template.webflow.io/professionals)
11:53:11	67911/67911	---M--	200	added ('OK')	image/jpeg	etag:%22bfd5af24949fc1474fc6335d86579f37%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa78986aa9135fe867_team-image-five.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefa78986aa9135fe867_team-image-five.jpg	(from https://interno-template.webflow.io/professionals)
11:53:11	44063/44063	---M--	200	added ('OK')	image/jpeg	etag:%22ccf7e218d2ec0df5e2bfc11035461e6f%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fef9a2db7e33c8558996_team-image-six.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fef9a2db7e33c8558996_team-image-six.jpg	(from https://interno-template.webflow.io/professionals)
11:53:12	89328/89328	---M--	200	added ('OK')	image/jpeg	etag:%2221275cae5f8d01aabaa120e82be7d415%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefab2eb07ae773b4c13_team-image-seven.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a1fefab2eb07ae773b4c13_team-image-seven.jpg	(from https://interno-template.webflow.io/professionals)
11:53:13	103261/103261	---M--	200	added ('OK')	image/jpeg	etag:%22977ed7c46b10fb80854d77f2c4b9f458%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b8c6734b8280d6490c794_about-image-3.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/619b8c6734b8280d6490c794_about-image-3.jpg	(from https://interno-template.webflow.io/services-single)
11:53:14	184636/184636	---M--	200	added ('OK')	image/jpeg	etag:%22096fdda154ae6e3adf6c1a4d34dd2f83%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a5f2c8cdc9cec0161fe8d9_faq-image-2.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a5f2c8cdc9cec0161fe8d9_faq-image-2.jpg	(from https://interno-template.webflow.io/faq)
11:53:14	61717/61717	---M--	200	added ('OK')	image/jpeg	etag:%22ff3a365443cbc2c69eaf710a32718342%22	https://uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a5f2c885db57eb2ccdb983_faq-image-1.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/6194e0af852e05a5be106504/61a5f2c885db57eb2ccdb983_faq-image-1.jpg	(from https://interno-template.webflow.io/faq)
11:53:15	169172/169172	---M--	200	added ('OK')	image/jpeg	etag:%22316271382fd0c105781594d0e58c050a%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1e98f65af7a8052d3027f_project-single-image.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1e98f65af7a8052d3027f_project-single-image.jpg	(from https://interno-template.webflow.io/project/winery-dry-creek-building)
11:53:16	67506/67506	---M--	200	added ('OK')	image/jpeg	etag:%225e689946dbdfba462915fadb681f01c3%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bd9831edf9851228e1f1_blog-image-large-1.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bd9831edf9851228e1f1_blog-image-large-1.jpg	(from https://interno-template.webflow.io/post/residential-interior-designer-in-new-york-usa)
11:53:17	55824/55824	---M--	200	added ('OK')	image/jpeg	etag:%2205b7fd4c2d00780a7032905a99583a4d%22	https://uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdb38f5267d87f8fa617_blog-image-large-2.jpg	C:/Users/manuk/Downloads/certon-interior/uploads-ssl.webflow.com/619cc60416b9688293f54eda/61a1bdb38f5267d87f8fa617_blog-image-large-2.jpg	(from https://interno-template.webflow.io/post/how-to-choose-the-best-wall-art-decor-house)
